Name,Data
Rissa_brevirostris,TRUE
Larus_minutus,TRUE
Larus_delawarensis,TRUE
Larus_hyperboreus,TRUE
Larus_argentatus,TRUE
Larus_michahellis,TRUE
Larus_armenicus,TRUE
Larus_marinus,TRUE
Larus_dominicanus,TRUE
Larus_glaucoides,TRUE
Larus_cachinnans,TRUE
Larus_schistisagus,TRUE
Larus_glaucescens,TRUE
Larus_thayeri,TRUE
Larus_californicus,TRUE
Larus_fuscus,TRUE
Larus_occidentalis,TRUE
Larus_livens,TRUE
Larus_heermanni,TRUE
Larus_canus,TRUE
Larus_pacificus,TRUE
Larus_belcheri,TRUE
Larus_crassirostris,TRUE
Larus_atlanticus,TRUE
Larus_ichthyaetus,TRUE
Larus_leucophthalmus,TRUE
Larus_audouinii,TRUE
Larus_hemprichii,TRUE
Larus_melanocephalus,TRUE
Larus_relictus,TRUE
Leucophaeus_scoresbii,TRUE
Larus_modestus,TRUE
Larus_pipixcan,TRUE
Larus_fuliginosus,TRUE
Larus_atricilla,TRUE
Larus_serranus,TRUE
Larus_novaehollandiae,TRUE
Larus_scopulinus,TRUE
Larus_bulleri,TRUE
Larus_maculipennis,TRUE
Larus_brunnicephalus,TRUE
Larus_ridibundus,TRUE
Larus_cirrocephalus,TRUE
Larus_hartlaubii,TRUE
Larus_philadelphia,TRUE
Larus_genei,TRUE
Larus_saundersi,TRUE
Rhodostethia_rosea,TRUE
Creagrus_furcatus,TRUE
Procelsterna_cerulea,FALSE
Procelsterna_albivitta,FALSE
Rynchops_flavirostris,FALSE
Rynchops_albicollis,FALSE
Rynchops_niger,TRUE
Anous_minutus,TRUE
Anous_stolidus,TRUE
Anous_tenuirostris,TRUE
Pedionomus_torquatus,TRUE
Thinocorus_orbignyianus,TRUE
Thinocorus_rumicivorus,TRUE
Attagis_malouinus,TRUE
Attagis_gayi,TRUE
Hydrophasianus_chirurgus,TRUE
Jacana_spinosa,TRUE
Jacana_jacana,TRUE
Microparra_capensis,TRUE
Irediparra_gallinacea,TRUE
Prosobonia_cancellata,FALSE
Metopidius_indicus,TRUE
Actophilornis_africanus,TRUE
Actophilornis_albinucha,FALSE
Rostratula_australis,TRUE
