Genus,Species,Subspecies,Family,Order,Common_Name,Name_In_Tree,Sampled,DNA_In_Tree,Extinct_Extant,Status_Species,DAISIE_Status_Species,Remove_Species
Limosa,lapponica,None,Scolopacidae,Charadriiformes,Bar-tailed Godwit,Limosa_lapponica,TRUE,TRUE,Extant,Non-endemic,Non-endemic,TRUE
Lophotibis,cristata,"cristata, urschi",Threskiornithidae,Pelecaniformes,Madagascar Crested Ibis,Lophotibis_cristata,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Macheiramphus,alcinus,None,Accipitridae,Accipitriformes,Bat Hawk,Macheiramphus_alcinus,TRUE,TRUE,Extant,Non-endemic,Non-endemic,FALSE
Margaroperdix,madagarensis,None,Phasianidae,Galliformes,Madagascar Partridge,Margaroperdix_madagascariensis,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Mentocrex,beankaensis,None,Rallidae,Gruiformes,Tsingy Wood-rail,NA,FALSE,FALSE,Extant,Endemic,Endemic,FALSE
Mentocrex,kioloides,"kioloides, berliozi",Rallidae,Gruiformes,Madagascar Wood-rail,Canirallus_kioloides,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Merops,superciliosus,superciliosus,Meropidae,Coraciiformes,Olive Bee-eater,Merops_superciliosus,TRUE,TRUE,Extant,Non-endemic,Non-endemic,FALSE
Mesitornis,unicolor,None,Mesitornithidae,Mesitornithiformes,Brown Mesite,Mesitornis_unicolor,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Mesitornis,variegatus,None,Mesitornithidae,Mesitornithiformes,White-breasted Mesite,Mesitornis_variegatus,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Microcarbo,africanus,pictilis,Phalacrocoracidae,Suliformes,Long-tailed Cormorant,Phalacrocorax_africanus,TRUE,FALSE,Extant,Non-endemic,Non-endemic,FALSE
Milvus,aegyptius,aegyptius/parasitus,Accipitridae,Accipitriformes,Yellow-billed Kite,Milvus_migrans,TRUE,TRUE,Extant,Non-endemic,Non-endemic,TRUE
Monias,benschi,None,Mesitornithidae,Mesitornithiformes,Subdesert Mesite,Monias_benschi,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Monias,sp.,None,Mesitornithidae,Mesitornithiformes,Subdesert Mesite,NA,FALSE,FALSE,Extinct,Endemic,Endemic,FALSE
Monticola,imerina,None,Muscicapidae,Passeriformes,Littoral Rock-thrush,Monticola_imerinus,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Monticola,sharpei,"bensoni, erythronotus, sharpei",Muscicapidae,Passeriformes,Forest Rock-thrush,Monticola_sharpei,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Motacilla,flaviventris,None,Motacillidae,Passeriformes,Madagascar Wagtail,Motacilla_flaviventris,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Mullerornis,agilis,None,Aepyornithidae,Aepyornithiformes,Agile Elephant bird,NA,FALSE,FALSE,Extinct,Endemic,Endemic,FALSE
Mullerornis,betsilei,None,Aepyornithidae,Aepyornithiformes,Betsilei's Elephant bird,NA,FALSE,FALSE,Extinct,Endemic,Endemic,FALSE
Mullerornis,grandis,None,Aepyornithidae,Aepyornithiformes,None,NA,FALSE,FALSE,Extinct,Endemic,Endemic,FALSE
Mullerornis,rudis,None,Aepyornithidae,Aepyornithiformes,Robust elephant-bird,NA,FALSE,FALSE,Extinct,Endemic,Endemic,FALSE
Mycteria,ibis,None,Ciconiidae,Ciconiiformes,Yellow-billed Stork,Mycteria_ibis,TRUE,TRUE,Extant,Non-endemic,Non-endemic,FALSE
Mystacornis,crossleyi,None,Vangidae,Passeriformes,Crossley's Vanga,Mystacornis_crossleyi,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Neodrepanis,coruscans,None,Philepittidae,Passeriformes,Common Sunbird-asity,Neodrepanis_coruscans,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Neodrepanis,hypoxantha,None,Philepittidae,Passeriformes,Yellow-bellied Sunbird-asity,Neodrepanis_hypoxantha,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Neomixis,striatigula,"striatigula, sclateri, pallidior",Cisticolidae,Passeriformes,Stripe-throated Jery,Neomixis_striatigula,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Neomixis,tenella,"tenella, decaryi, orientalis, debilis",Cisticolidae,Passeriformes,Common Jery,Neomixis_tenella,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Neomixis,viridis,"viridis, delacouri",Cisticolidae,Passeriformes,Green Jery,Neomixis_viridis,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Nesillas,lantzii,None,Acrocephalidae,Passeriformes,Subdesert Brush-warbler,Nesillas_lantzii,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Nesillas,typica,"typica, obscura",Acrocephalidae,Passeriformes,Madagascar Brush-warbler,Nesillas_typica,TRUE,TRUE,Extant,Non-endemic,Endemic,FALSE
Nesoenas,picturatus,picturatus,Columbidae,Columbiformes,Madagascar Turtle-dove,Nesoenas_picturata,TRUE,TRUE,Extant,Non-endemic,Endemic,FALSE
Nettapus,auritus,None,Anatidae,Anseriformes,African Pygmy-goose,Nettapus_auritus,TRUE,FALSE,Extant,Non-endemic,Non-endemic,FALSE
Newtonia,amphichroa,"amphichroa, lavarambo",Vangidae,Passeriformes,Dark Newtonia,Newtonia_amphichroa,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Newtonia,archboldi,None,Vangidae,Passeriformes,Archbold's Newtonia,Newtonia_archboldi,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Newtonia,brunneicauda,"brunneicauda, monticola",Vangidae,Passeriformes,Common Newtonia,Newtonia_brunneicauda,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
