Genus,Species,Subspecies,Family,Order ,Common_Name,Name_In_Tree,Sampled,DNA_In_Tree,Extinct_Extant,Status_Species,DAISIE_Status_Species,Remove_Species
Lepilemur,edwardsi,None,Lepilemuridae,Primates,Milne-Edward's sportive lemur,Lepilemur_edwardsi,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Lepilemur,fleuretae,None,Lepilemuridae,Primates,Fleurete's sportive lemur,Lepilemur_fleuretae,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Lepilemur,grewcockorum,None,Lepilemuridae,Primates,Grewcock's sportive lemur,Lepilemur_grewcockorum,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Lepilemur,hollandorum,None,Lepilemuridae,Primates,Holland's sportive lemur,Lepilemur_hollandorum,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Lepilemur,hubbardorum,None,Lepilemuridae,Primates,Hubbard's sportive lemur,Lepilemur_hubbardorum,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Lepilemur,jamesorum,None,Lepilemuridae,Primates,James' sportive lemur,Lepilemur_jamesorum,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Lepilemur,leucopus,None,Lepilemuridae,Primates,White-footed sportive lemur,Lepilemur_leucopus,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Lepilemur,microdon,None,Lepilemuridae,Primates,Small-toothed sportive lemur,Lepilemur_microdon,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Lepilemur,milanoii,None,Lepilemuridae,Primates,Daraina sportive lemur,Lepilemur_milanoii,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Lepilemur,mittermeieri,None,Lepilemuridae,Primates,Mittermeier's sportive lemur,Lepilemur_mittermeieri,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Lepilemur,mustelinus,None,Lepilemuridae,Primates,Weasel sportive lemur,Lepilemur_mustelinus,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Lepilemur,otto,None,Lepilemuridae,Primates,Otto's sportive lemur,Lepilemur_otto,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Lepilemur,petteri,None,Lepilemuridae,Primates,Petter's sportive lemur,Lepilemur_petteri,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Lepilemur,randrianasoloi,None,Lepilemuridae,Primates,Randrianasolo's sportive lemur,Lepilemur_randrianasoloi,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Lepilemur,ruficaudatus,None,Lepilemuridae,Primates,Red-tailed sportive lemur,Lepilemur_ruficaudatus,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Lepilemur,sahamalazensis,None,Lepilemuridae,Primates,Sahamalaza Peninsula sportive lemur,Lepilemur_sahamalazensis,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Lepilemur,scottorum,None,Lepilemuridae,Primates,Scott's Masoala sportive lemur,Lepilemur_scottorum,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
