Genus;Species;Subspecies;Family;Order ;Common_Name;Name_In_Tree;Sampled;DNA_In_Tree;Extinct_Extant;Status_Species
Daubentonia;madagascariensis;NA;Daubentoniidae;Primates;Aye-aye;Daubentonia madagascariensis;TRUE;TRUE;Extant;Endemic
Daubentonia;robusta;NA;Daubentoniidae;Primates;Giant aye-aye;NA;FALSE;FALSE;Extinct;Endemic
Eulemur;albifrons;NA;Lemuridae;Primates;White-fronted brown lemur;Eulemur albifrons;TRUE;TRUE;Extant;Endemic
Eulemur;cinereiceps;NA;Lemuridae;Primates;White-collared lemur;Eulemur cinereiceps;TRUE;TRUE;Extant;Endemic
Eulemur;collaris;NA;Lemuridae;Primates;Collared brown lemur;Eulemur collaris;TRUE;TRUE;Extant;Endemic
Eulemur;coronatus;NA;Lemuridae;Primates;Crowned lemur;Eulemur coronatus;TRUE;TRUE;Extant;Endemic
Eulemur;flavifrons;NA;Lemuridae;Primates;Sclater's Blue-eyed black lemur;Eulemur flavifrons;TRUE;TRUE;Extant;Endemic
Eulemur;fulvus;NA;Lemuridae;Primates;Common brown lemur;Eulemur fulvus;TRUE;TRUE;Extant;Endemic
Eulemur;macaco;NA;Lemuridae;Primates;Black lemur;Eulemur macaco;TRUE;TRUE;Extant;Endemic
Eulemur;mongoz;NA;Lemuridae;Primates;Mongoose lemur;Eulemur mongoz;TRUE;TRUE;Extant;Endemic
Eulemur;rubriventer;NA;Lemuridae;Primates;Red-bellied lemur;Eulemur rubriventer;TRUE;TRUE;Extant;Endemic
Eulemur;rufifrons;NA;Lemuridae;Primates;Bennett's Red-fronted brown lemur;Eulemur rufifrons;TRUE;TRUE;Extant;Endemic
Eulemur;rufus;NA;Lemuridae;Primates;Audebert's red-fronted brown lemur;Eulemur rufus;TRUE;TRUE;Extant;Endemic
Eulemur;sanfordi;NA;Lemuridae;Primates;Sanford's brown lemur;Eulemur sanfordi;TRUE;TRUE;Extant;Endemic
Hadropithecus;stenognathus;NA;Archaeolemuridae;Primates;NA;NA;FALSE;FALSE;Extinct;Endemic
Hapalemur;alaotrensis;NA;Lemuridae;Primates;Alaotra gentle reed lemur;Hapalemur alaotrensis;TRUE;TRUE;Extant;Endemic
Hapalemur;aureus;NA;Lemuridae;Primates;Golden bamboo lemur;Hapalemur aureus;TRUE;TRUE;Extant;Endemic
Hapalemur;griseus;NA;Lemuridae;Primates;Eastern lesser bamboo lemur;Hapalemur griseus;TRUE;TRUE;Extant;Endemic
Hapalemur;meridionalis;NA;Lemuridae;Primates;Rusty-grey lesser/southern grey gentle bamboo lemur;Hapalemur meridionalis;TRUE;FALSE;Extant;Endemic
Hapalemur;occidentalis;NA;Lemuridae;Primates;Sambirano lesser/western grey bamboo lemur;Hapalemur occidentalis;TRUE;TRUE;Extant;Endemic
Indri;indri;NA;Indriidae;Primates;Indri;Indri indri;TRUE;TRUE;Extant;Endemic
Lemur;catta;NA;Lemuridae;Primates;Ring-tailed lemur;Lemur catta;TRUE;TRUE;Extant;Endemic
Lepilemur;aeeclis;NA;Lepilemuridae;Primates;Antafia red-shouldered sportive lemur;Lepilemur aeeclis;TRUE;TRUE;Extant;Endemic
Lepilemur;ahmansonorum;NA;Lepilemuridae;Primates;Ahmanson's sportive lemur;Lepilemur ahmansonorum;TRUE;FALSE;Extant;Endemic
Lepilemur;ankaranensis;NA;Lepilemuridae;Primates;Ankarana sportive lemur;Lepilemur ankaranensis;TRUE;TRUE;Extant;Endemic
Lepilemur;betsileo;NA;Lepilemuridae;Primates;Betsileo sportive lemur;Lepilemur betsileo;TRUE;FALSE;Extant;Endemic
Lepilemur;dorsalis;NA;Lepilemuridae;Primates;Gray-backed sportive lemur;Lepilemur dorsalis;TRUE;TRUE;Extant;Endemic
Lepilemur;edwardsi;NA;Lepilemuridae;Primates;Milne-Edward's sportive lemur;Lepilemur edwardsi;TRUE;TRUE;Extant;Endemic
Lepilemur;fleuretae;NA;Lepilemuridae;Primates;Fleurete's sportive lemur;Lepilemur fleuretae;TRUE;FALSE;Extant;Endemic
Lepilemur;grewcockorum;NA;Lepilemuridae;Primates;Grewcock's sportive lemur;Lepilemur grewcockorum;TRUE;TRUE;Extant;Endemic
Lepilemur;hollandorum;NA;Lepilemuridae;Primates;Holland's sportive lemur;Lepilemur hollandorum;TRUE;FALSE;Extant;Endemic
Lepilemur;hubbardorum;NA;Lepilemuridae;Primates;Hubbard's sportive lemur;Lepilemur hubbardorum;TRUE;TRUE;Extant;Endemic
Lepilemur;jamesorum;NA;Lepilemuridae;Primates;James' sportive lemur;Lepilemur jamesorum;TRUE;TRUE;Extant;Endemic
Lepilemur;leucopus;NA;Lepilemuridae;Primates;White-footed sportive lemur;Lepilemur leucopus;TRUE;TRUE;Extant;Endemic
Lepilemur;microdon;NA;Lepilemuridae;Primates;Small-toothed sportive lemur;Lepilemur microdon;TRUE;TRUE;Extant;Endemic
